Time,TargetX0,CurrentX0,ErrorX0,PIDOutX0,FLSCorrX0,FinalCmdX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,ErrorY0,PIDOutY0,FLSCorrY0,FinalCmdY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,ErrorX1,PIDOutX1,FLSCorrX1,FinalCmdX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,ErrorY1,PIDOutY1,FLSCorrY1,FinalCmdY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,ErrorX2,PIDOutX2,FLSCorrX2,FinalCmdX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,ErrorY2,PIDOutY2,FLSCorrY2,FinalCmdY2,PTermY2,ITermY2,DTermY2
0,5,0.0245,5,10,0,10,15.5,0.1,-0,7.3094,1.1745,6.1594,10,0,10,19.0941,0.123188,-0,3,-1.9755,5,10,0,10,15.5,0.1,-0,3.8453,-1.9755,5.8453,10,0,10,18.1204,0.116906,-0,7,2.0245,5,10,0,10,15.5,0.1,-0,3.8453,-1.9755,5.8453,10,0,10,18.1204,0.116906,-0
0.05,5,0.07301,4.9755,10,0,10,15.4241,0.19951,-1.078,7.3094,1.22301,6.1349,10,0,10,19.0182,0.245886,-1.078,3,-1.92699,4.9755,10,0,10,15.4241,0.19951,-1.078,3.8453,-1.92699,5.8208,10,0,10,18.0445,0.233322,-1.078,7,2.07301,4.9755,10,0,10,15.4241,0.19951,-1.078,3.8453,-1.92699,5.8208,10,0,10,18.0445,0.233322,-1.078
0.1,5,0.14505,4.92699,10,0,10,15.2737,0.29805,-2.13444,7.3094,1.29505,6.08639,10,0,10,18.8678,0.367614,-2.13444,3,-1.85495,4.92699,10,0,10,15.2737,0.29805,-2.13444,3.8453,-1.85495,5.77229,10,0,10,17.8941,0.348768,-2.13444,7,2.14505,4.92699,10,0,10,15.2737,0.29805,-2.13444,3.8453,-1.85495,5.77229,10,0,10,17.8941,0.348768,-2.13444
0.15,5,0.240149,4.85495,10,0,10,15.0503,0.395149,-3.16975,7.3094,1.39015,6.01435,10,0,10,18.6445,0.487901,-3.16975,3,-1.75985,4.85495,10,0,10,15.0503,0.395149,-3.16975,3.8453,-1.75985,5.70025,10,0,10,17.6708,0.462773,-3.16975,7,2.24015,4.85495,10,0,10,15.0503,0.395149,-3.16975,3.8453,-1.75985,5.70025,10,0,10,17.6708,0.462773,-3.16975
0.2,5,0.357846,4.75985,10,0,10,14.7555,0.490346,-4.18436,7.3094,1.50785,5.91925,10,0,10,18.3497,0.606286,-4.18436,3,-1.64215,4.75985,10,0,10,14.7555,0.490346,-4.18436,3.8453,-1.64215,5.60515,10,0,10,17.376,0.574876,-4.18436,7,2.35785,4.75985,10,0,10,14.7555,0.490346,-4.18436,3.8453,-1.64215,5.60515,10,0,10,17.376,0.574876,-4.18436
0.25,5,0.497187,4.64215,9.7952,0,9.7952,14.3907,0.583189,-5.17867,7.3094,1.64769,5.80156,10,0,10,17.9848,0.722317,-5.17867,3,-1.50281,4.64215,9.7952,0,9.7952,14.3907,0.583189,-5.17867,3.8453,-1.50231,5.48745,10,0,10,17.0111,0.684625,-5.17867,7,2.49719,4.64215,9.7952,0,9.7952,14.3907,0.583189,-5.17867,3.8453,-1.50231,5.48745,10,0,10,17.0111,0.684625,-5.17867
0.3,5,0.654569,4.50281,8.50095,0,8.50095,13.9587,0.673245,-6.13102,7.3094,1.80924,5.66171,10,0,10,17.5513,0.835551,-6.1531,3,-1.34543,4.50281,8.50095,0,8.50095,13.9587,0.673245,-6.13102,3.8453,-1.34076,5.34761,10,0,10,16.5776,0.791577,-6.1531,7,2.65457,4.50281,8.50095,0,8.50095,13.9587,0.673245,-6.13102,3.8453,-1.34076,5.34761,10,0,10,16.5776,0.791577,-6.1531
0.35,5,0.826703,4.34543,7.30619,0,7.30619,13.4708,0.760154,-6.9248,7.3094,1.99205,5.50017,10,0,10,17.0505,0.945555,-7.10803,3,-1.1733,4.34543,7.30619,0,7.30619,13.4708,0.760154,-6.9248,3.8453,-1.15828,5.18606,9.86406,0,9.86406,16.0768,0.895298,-7.10803,7,2.8267,4.34543,7.30619,0,7.30619,13.4708,0.760154,-6.9248,3.8453,-1.15828,5.18606,9.86406,0,9.86406,16.0768,0.895298,-7.10803
0.4,5,1.0106,4.1733,6.20693,0,6.20693,12.9372,0.84362,-7.57391,7.3094,2.19446,5.31735,9.49182,0,9.49182,16.4838,1.0519,-8.04387,3,-0.989398,4.1733,6.20693,0,6.20693,12.9372,0.84362,-7.57391,3.8453,-0.958681,5.00358,8.47726,0,8.47726,15.5111,0.99537,-8.02922,7,3.0106,4.1733,6.20693,0,6.20693,12.9372,0.84362,-7.57391,3.8453,-0.958681,5.00358,8.47726,0,8.47726,15.5111,0.99537,-8.02922
0.45,5,1.20356,3.9894,5.199,0,5.199,12.3671,0.923408,-8.09154,7.3094,2.41269,5.11494,8.10429,0,8.10429,15.8563,1.1542,-8.90621,3,-0.79644,3.9894,5.199,0,5.199,12.3671,0.923408,-8.09154,3.8453,-0.745428,4.80398,7.20131,0,7.20131,14.8923,1.09145,-8.78248,7,3.20356,3.9894,5.199,0,5.199,12.3671,0.923408,-8.09154,3.8453,-0.745428,4.80398,7.20131,0,7.20131,14.8923,1.09145,-8.78248
